trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3833,False,"{'a': 0.001, 'e': 0.021666239788888441}",25,16,16.52449161356812,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3834,False,"{'a': 0.001, 'e': 0.021644584378609312}",20,9,20.140068095353744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3835,False,"{'a': 0.001, 'e': 0.021622950612916365}",25,8,28.137229096740842,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3836,False,"{'a': 0.001, 'e': 0.021601338470175833}",20,6,23.21130912299767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3837,False,"{'a': 0.001, 'e': 0.021579747928775563}",25,7,31.714613330786502,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3838,False,"{'a': 0.001, 'e': 0.021558178967125027}",25,15,14.890019912230708,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3839,False,"{'a': 0.001, 'e': 0.021536631563655258}",20,16,5.6197414701492825,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3840,False,"{'a': 0.001, 'e': 0.021515105696818845}",30,7,39.777331620453886,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3841,False,"{'a': 0.001, 'e': 0.021493601345089923}",20,0,31.311012674850957,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3842,False,"{'a': 0.001, 'e': 0.021472118486964127}",25,19,12.687061984158982,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3843,False,"{'a': 0.001, 'e': 0.021450657100958614}",20,4,18.8272094547159,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3844,False,"{'a': 0.001, 'e': 0.021429217165611993}",20,12,10.948218796322617,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3845,False,"{'a': 0.001, 'e': 0.021407798659484324}",25,13,24.88538306625923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3846,False,"{'a': 0.001, 'e': 0.021386401561157089}",35,18,27.062225601261673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3847,False,"{'a': 0.001, 'e': 0.021365025849233204}",20,2,29.13903497157078,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3848,False,"{'a': 0.001, 'e': 0.021343671502336951}",25,11,27.405987363293104,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3849,False,"{'a': 0.001, 'e': 0.021322338499113979}",30,11,29.611202488525798,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
3850,False,"{'a': 0.001, 'e': 0.021301026818231272}",30,7,40.875540399810916,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3851,False,"{'a': 0.001, 'e': 0.021279736438377168}",25,20,11.030099339411782,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3852,False,"{'a': 0.001, 'e': 0.021258467338261276}",20,6,22.952853401853634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3853,False,"{'a': 0.001, 'e': 0.021237219496614494}",20,11,15.995329082313503,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3854,False,"{'a': 0.001, 'e': 0.021215992892188968}",20,16,6.865844554948607,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3855,False,"{'a': 0.001, 'e': 0.021194787503758111}",30,22,15.559448169452196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3856,False,"{'a': 0.001, 'e': 0.021173603310116529}",20,8,23.492033925108938,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3857,False,"{'a': 0.001, 'e': 0.021152440290080017}",20,10,20.442139002871645,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
